"ERB_CASA";"QTDE_LNHA_POS";"QTDE_LNHA_CTRL";"QTDE_LNHA_PRE";"X";"Y";"ANOMES"
"GOCHA";18;146;165;-47,79799;-18,11165;202601
"GOTDD";439;1284;886;-49,499561;-16,667544;202601
"GOTMS";413;1406;1209;-49,503078;-16,644131;202601
"GOIEI";446;2873;1681;-49,801447;-16,023567;202601
"GOPSL";622;469;285;-49,186297;-16,7415;202601
"GOJAR";103;108;67;-49,285986;-16,695992;202601
"GO60C";0;3;4;-49,425836;-16,642236;202601
"GOTW1";50;126;96;-51,034497;-17,770733;202601
"GOCJK";1289;2760;1151;-47,946733;-18,177764;202601
"GOFRM";1296;3597;1673;-47,337658;-15,539181;202601
"GOAVM";54;356;204;-49,247717;-16,777908;202601
"GOIBS";53;230;129;-49,22275;-18,397611;202601
"GOBR4";63;390;351;-48,439269;-16,113525;202601
"GORB7";6;101;76;-49,59561;-15,390306;202601
"GOGJD";302;1312;864;-49,220019;-16,674681;202601
"GOA09";59;644;454;-48,317061;-15,740919;202601
"GONPL";90;1277;1330;-49,509972;-13,23975;202601
"GOPGS";208;2318;2197;-49,912619;-16,824342;202601
"GOFMN";278;1519;842;-47,331917;-15,557056;202601
"GOAR8";76;570;339;-48,277081;-15,7408;202601
"GOCEP";318;564;269;-49,316944;-16,709722;202601
"GOLZC";874;3530;1216;-47,956969;-16,251928;202601
"GOSCQ";183;1030;791;-49,092681;-16,705075;202601
"GOHEL";281;873;514;-49,318031;-16,75565;202601
"GOVSJ";88;341;532;-47,836553;-14,179994;202601
"GOJTO";786;2168;1017;-51,733414;-17,898858;202601
"GOBOA";186;362;185;-49,245778;-16,744833;202601
"GOAJB";91;476;371;-49,236961;-16,768019;202601
"GOMSJ";672;2491;1708;-52,565222;-17,569333;202601
"GORRI";186;1147;944;-50,913744;-17,763506;202601
"GOBVI";111;648;604;-49,40458;-16,7237;202601
"GONGR";0;0;1;-48,08374;-16,05596;202601
"GOFNO";11;110;179;-50,301539;-16,676461;202601
"GOLLL";210;1925;1513;-48,741628;-16,619519;202601
"GOJUN";127;200;88;-48,947903;-16,333864;202601
"GOMAZ";26;198;153;-49,336944;-14,195028;202601
"GOABC";340;4142;3156;-47,818222;-16,056056;202601
"GOFMC";730;5093;3556;-47,330306;-15,526972;202601
"GOAPJ";110;497;426;-49,216819;-16,76105;202601
"GO1C1";5;8;5;-49,258169;-16,681444;202601
"GO8QO";25;199;125;-48,261444;-15,758639;202601
"GOCBR";553;1195;845;-49,295436;-16,673333;202601
"GOOZN";42;613;679;-48,408333;-17,01;202601
"GOAT4";1979;1003;339;-49,267028;-16,713606;202601
"GOABV";190;616;287;-48,9336;-16,35272;202601
"GOFVI";8;46;37;-48,93077;-16,40979;202601
"GOGSN";178;825;602;-49,385369;-16,678319;202601
"GOCDO";143;167;84;-49,307022;-16,698633;202601
"GOGDI";10;89;81;-49,116644;-16,377003;202601
"GOCAE";750;1153;608;-49,240028;-16,721086;202601
"GORVL";228;695;390;-50,921347;-17,768003;202601
"GOSNC";147;764;644;-49,156556;-16,656972;202601
"GOGSA";171;529;389;-49,2065;-16,624439;202601
"GOGRR";22;547;1111;-46,455167;-14,296361;202601
"GOGPM";174;82;35;-49,227361;-16,703972;202601
"GOA13";156;1329;972;-48,28595;-15,71072;202601
"GONGD";77;694;407;-48,035706;-16,077689;202601
"GOVGA";403;735;430;-49,18325;-16,698056;202601
"GOPJB";176;465;331;-49,020269;-17,292614;202601
"GOIBC";59;93;50;-49,215778;-18,417667;202601
"GOPSE";377;4215;5492;-46,366556;-14,091139;202601
"GOINL";17;106;102;-49,993333;-18,490778;202601
"GOFMD";1047;6659;5193;-47,323381;-15,561317;202601
"GOLSF";594;2124;883;-47,957419;-16,266922;202601
"GODAT";17;56;46;-48,956714;-16,390481;202601
"GOSSV";2;0;3;-47,98445;-16,079108;202601
"GOMID";362;1039;603;-49,113222;-17,731611;202601
"GO8XP";116;417;357;-47,610278;-16,771556;202601
"GOCBI";38;145;80;-52,606053;-18,469675;202601
"GOCXA";79;933;904;-49,980917;-14,546472;202601
"GOCMC";71;691;525;-48,812556;-15,928528;202601
"GOCTR";7;67;57;-49,693167;-16,763222;202601
"GORJD";22;188;130;-51,573889;-17,770833;202601
"GOMAC";5;30;19;-48,906542;-17,722903;202601
"GO8XM";11;79;81;-48,330028;-15,75225;202601
"GOAPK";227;657;338;-48,964853;-16,301664;202601
"GOVBO";494;1177;787;-49,318114;-16,727978;202601
"GOAID";32;115;156;-49,261139;-16,661917;202601
"GOJTN";545;2423;1027;-51,730308;-17,866619;202601
"GORMG";129;745;493;-49,186256;-16,647369;202601
"GOJBS";236;2323;1453;-51,694989;-17,877369;202601
"GOA15";133;1021;646;-48,282019;-15,772047;202601
"GOGTC";463;1144;446;-49,367189;-18,016078;202601
"GOUVT";399;555;261;-49,247504;-16,676843;202601
"GOAP1";178;964;1036;-47,5179;-14,136611;202601
"GOGNA";679;730;377;-49,257194;-16,675564;202601
"GOGRP";235;673;452;-49,37345;-16,67929;202601
"GOMCO";35;375;477;-46,957444;-14,895417;202601
"GOSUV";205;106;48;-49,25232;-16,69585;202601
"GOPG2";12;101;139;-49,142281;-13,41484;202601
"GOMRG";246;930;864;-49,32545;-16,6283;202601
"GOAAA";2;25;27;-49,296111;-13,925556;202601
"GO8XZ";4;40;33;-48,014139;-16,057694;202601
"GOAVG";66;644;555;-49,28205;-16,84015;202601
"GOITJ";28;380;332;-51,525833;-19,041667;202601
"GOPTI";315;1032;647;-49,207083;-16,747083;202601
"GOSLU";208;233;96;-49,240519;-16,687333;202601
"GOPGD";425;4184;3021;-49,9195;-16,806917;202601
"GO8XW";0;1;5;-48,269667;-15,947972;202601
"GONEG";143;617;365;-49,359908;-16,715669;202601
"GOVBE";462;618;226;-49,29597;-16,71584;202601
"GOIET";470;4129;3136;-49,794806;-16,035361;202601
"GOEUR";248;270;171;-49,311589;-16,713708;202601
"GOUUP";2;63;53;-49,606611;-15,670047;202601
"GOCNE";101;686;892;-49,1535;-14,314656;202601
"GOAVD";323;216;154;-49,184203;-16,603506;202601
"GOIND";103;713;670;-49,994069;-17,137447;202601
"GOCQZ";168;82;19;-49,247597;-16,692539;202601
"GOA17";49;445;336;-48,273738;-15,714425;202601
"GOBBD";11;144;165;-49,40865;-16,3495;202601
"GOVDO";351;2523;1423;;;202601
"GOLSM";88;592;334;-47,941031;-16,227258;202601
"GOPRE";314;914;534;-49,324025;-16,736133;202601
"GOGAM";45;246;208;-48,645861;-16,486917;202601
"GO60D";108;244;170;-49,485528;-16,674056;202601
"GOCN4";21;162;170;-52,797653;-18,527181;202601
"GOITN";44;168;198;-48,637611;-17,769347;202601
"GOPOS";78;705;697;-49,610944;-16,943833;202601
"GOBR2";59;304;207;-48,821561;-16,310228;202601
"GOPAI";173;1063;1302;-50,653889;-18,910833;202601
"GO8XE";3;3;4;-49,504639;-16,35775;202601
"GOTBA";24;138;134;-49,550319;-16,623461;202601
"GORAV";264;710;445;-50,96323;-17,82749;202601
"GOALO";105;819;525;-48,338761;-15,74285;202601
"GOIED";174;1358;987;-49,796722;-16,02075;202601
"GOIPI";325;560;391;-49,328392;-16,665214;202601
"GORNT";74;109;25;-49,250625;-16,680825;202601
"GOSBV";804;516;158;-49,263039;-16,714644;202601
"GORIA";55;1286;1271;-49,924028;-15,689389;202601
"GOTSD";48;246;131;-47,779889;-18,360083;202601
"GOPRU";504;132;65;-49,258861;-16,702694;202601
"GOGMO";192;1148;1576;-49,323161;-16,616333;202601
"GOLSE";503;1638;603;-47,948292;-16,241264;202601
"GONVG";89;1296;1353;-49,564889;-15,174083;202601
"GOMDR";338;690;562;-49,347611;-16,757111;202601
"GOALL";3;25;31;-49,49854;-15,89343;202601
"GOMND";197;1876;1702;-52,555964;-17,588261;202601
"GOAGR";92;264;192;-49,32898;-16,77189;202601
"GOAIM";89;764;777;-49,313033;-16,819011;202601
"GOSND";1;19;24;-49,117489;-15,134831;202601
"GOBR1";25;84;55;-49,160239;-16,576075;202601
"GOASH";1;3;1;-49,251667;-16,823722;202601
"GOARI";161;626;470;-49,25071;-16,83711;202601
"GOGOC";167;1526;1494;-50,13575;-15,944889;202601
"GOACD";205;1223;757;-50,374678;-17,396978;202601
"GOFCV";155;444;222;-49,319056;-16,743194;202601
"GOPSQ";31;365;462;-46,334919;-14,103511;202601
"GOIUP";92;401;255;;;202601
"GONSC";1916;1265;432;-49,27015;-16,719631;202601
"GOMNI";619;3853;2796;-52,53795;-17,544431;202601
"GORFO";341;1353;783;-49,337261;-16,7258;202601
"GOCOS";164;1285;856;-47,925222;-16,1955;202601
"GOCPB";368;383;196;-49,273856;-16,676594;202601
"GOMCG";111;2034;3257;-51,392494;-16,007011;202601
"GOGJN";143;555;369;-49,211478;-16,665197;202601
"GO8YI";15;174;136;-48,287139;-15,71775;202601
"GOSCP";183;935;644;-49,10581;-16,70056;202601
"GO8QD";0;0;1;-48,292444;-15,934472;202601
"GONQC";341;2936;3014;-48,439056;-14,471806;202601
"GOBZR";67;1056;1144;-47,106861;-15,494972;202601
"GOVSZ";181;1137;855;-49,237356;-16,822628;202601
"GOGRV";283;916;802;-49,343647;-16,767497;202601
"GOJAM";675;438;161;-49,279383;-16,706917;202601
"GOSAL";44;291;165;-49,259167;-16,833778;202601
"GONOL";0;13;28;-49,227864;-16,829483;202601
"GOMCS";124;952;843;-49,373061;-16,7048;202601
"GO8XL";36;220;134;-47,995583;-16,05225;202601
"GOSHC";2;5;8;-49,313981;-16,682542;202601
"GOIPL";49;189;139;-49,2407;-18,407111;202601
"GOJDG";797;426;173;-49,2425;-16,702667;202601
"GOPIC";206;3128;2806;-51,814167;-16,434453;202601
"GOMDG";96;955;859;-49,366103;-16,820922;202601
"GOPGE";191;2772;2438;-49,927278;-16,815278;202601
"GONCD";98;980;2212;-50,336417;-14,097833;202601
"GORB9";3;43;105;-49,808577;-15,44702;202601
"GONGA";194;895;431;-48,031003;-16,058169;202601
"GOPSR";395;2052;1738;-49,374861;-16,724778;202601
"GOGPW";256;334;174;-49,2863;-16,6799;202601
"GOSSC";15;170;287;-48,816534;-16,766106;202601
"GOPQA";1298;1852;991;-49,280056;-16,728111;202601
"GOPLD";91;750;610;-47,583417;-15,427361;202601
"GORRO";419;797;407;-50,929719;-17,783053;202601
"GOMMM";308;2101;1947;-52,539719;-17,537889;202601
"GODCI";74;689;497;-47,563909;-18,153126;202601
"GOSSS";56;338;475;-49,08632;-16,71115;202601
"GOAT7";1017;570;181;-49,274908;-16,688914;202601
"GOAMB";52;277;222;-49,223411;-16,788833;202601
"GOIUD";78;381;272;-49,609417;-16,208064;202601
"GONQQ";137;1568;2109;-48,427425;-14,458339;202601
"GOSJD";223;2700;3612;-47,523306;-14,709194;202601
"GO8PX";8;72;72;-48,2585;-15,944306;202601
"GOCIU";413;980;653;-48,622478;-17,740589;202601
"GOICL";92;1253;995;-49,54068;-14,96392;202601
"GOPGT";384;1887;1668;-49,145736;-13,44305;202601
"GOFST";868;5337;3445;-47,352203;-15,546208;202601
"GOAFN";530;708;344;-49,261328;-16,670375;202601
"GOAOV";62;398;344;-49,2394;-16,85144;202601
"GO8QM";10;72;150;-47,607389;-16,752194;202601
"GORMC";239;998;637;-49,2761;-16,574469;202601
"GOAMG";64;681;650;-49,372431;-16,844689;202601
"GOGOI";235;1694;1518;-49,020258;-16,500342;202601
"GOAAV";51;329;238;-48,976764;-16,382344;202601
"GOCT3";44;214;153;-48,627561;-17,727917;202601
"GO8RE";8;105;131;-48,309111;-15,943722;202601
"GOCTL";1236;5576;2565;-47,949933;-18,155767;202601
"GOALN";88;1879;3199;-46,482814;-14,496222;202601
"GOUUF";7;87;76;-49,634007;-15,632446;202601
"GOARU";500;624;284;-49,212778;-16,695422;202601
